Ground Truth (GT),LR (3000),Att(4000) (proper weights),LIG (5000),LIME (5000),LxA(5000),,Att (1400),Correct Att (3500),Correct LR (1500),,,"GT with ,","LR with ,","Att with ,","LIG with ,","LIME with ,","LxA with ,"
,distinctive,certain,sleeper,manner,star,,hole,man,losers,,,,,,,,
,demonstrate,wives,unexpected,brothers,simulate,,titled,valley,writer,,,,,,,,
,blown,sum,bard,miss,idiots,,reminder,son,caine,,,,,,,,
,aims,situations,imitation,outstanding,shovel,,significance,reminded,punching,,,,,,,,
,monty,sensitive,bone,writing,medium,,seductive,white,michael,,,,,,,,
,assaults,100,strengths,excitement,spirit,,productions,points,dynamic,,,,,,,,
,accuracy,productions,dream,empty,gaping,,meaningless,aspects,ultimately,,,,,,,,
,grounded,cult,stiff,problems,olympic,,curse,wrapped,moved,,,,,,,,
,realism,instinct,lives,greek,team,,bid,package,dude,,,,,,,,
,novak,dancing,stimulus,wedding,blend,,embedded,frame,cia,,,,,,,,
,civic,dance,frustration,fat,claude,,delhi,female,chasing,,,,,,,,
,place,adult,winning,achieve,master,,sits,comics,falls,,,,,,,,
,maturity,starts,antics,popularity,inuit,,loser,channel,agent,,,,,,,,
,elegance,ones,barrel,male,screenplay,,eponymous,cable,changing,,,,,,,,
,dreams,cared,miracles,era,bored,,primitive,amazing,dead,,,,,,,,
,kevin,discussion,miracle,document,wish,,technique,violence,strain,,,,,,,,
,khan,regarding,lewis,auto,thoughtful,,prevalent,use,gripping,,,,,,,,
,wrath,plane,remembering,slow,tale,,taylor,himself,startling,,,,,,,,
,devotees,peas,davies,imagination,raw,,harvard,force,terry,,,,,,,,
,vu,mood,perspective,marking,sitcom,,encompasses,continues,george,,,,,,,,
,generation,record,showcases,serious,shoulders,,chelsea,complex,french,,,,,,,,
,episodes,count,bleak,turns,broad,,ritchie,wooden,spotlight,,,,,,,,
,bile,seeing,sincere,gradually,report,,checking,manner,wonder,,,,,,,,
,faulty,sporting,holiday,describe,abuse,,inconsistent,brothers,devoid,,,,,,,,
,amused,means,bullets,2002,fake,,endurance,miss,fatal,,,,,,,,
,skill,builds,none,korean,palestinian,,ai,outstanding,glossy,,,,,,,,
,entertained,attract,hail,historical,israeli,,stretched,writing,desperation,,,,,,,,
,bela,shots,poem,modern,strong,,brief,empty,exquisite,,,,,,,,
,vampire,creek,convincing,complete,touches,,ambition,problems,developed,,,,,,,,
,determined,jokes,viewer,solid,midway,,roles,greek,bollywood,,,,,,,,
,typical,involved,patient,assured,flickering,,heights,wedding,remotely,,,,,,,,
,fierce,advice,maintain,road,fire,,suggest,fat,devastating,,,,,,,,
,crippled,laughs,tattoo,politics,loses,,presentation,achieve,worthy,,,,,,,,
,tragedy,slick,timely,sexual,rodriguez,,lean,popularity,desire,,,,,,,,
,repetitive,add,pile,obvious,move,,mask,male,bullock,,,,,,,,
,melancholy,routine,affection,lived,purpose,,donovan,era,poetic,,,,,,,,
,fallen,urban,pathology,passing,pleasing,,irwin,document,sparkling,,,,,,,,
,spell,mention,vietnam,na,fare,,aesthetics,now,sloppy,,,,,,,,
,brutally,bits,souls,stupid,christmas,,crack,slow,mildly,,,,,,,,
,tolerate,appearance,ages,elements,triumphant,,despair,serious,lopez,,,,,,,,
,scandal,smoky,adventure,mood,wry,,chronicles,?,relationships,,,,,,,,
,baroque,scarcely,substances,heated,plots,,knees,there,baffled,,,,,,,,
,cool,built,subjected,felt,reality,,commended,turns,cannes,,,,,,,,
,breadth,scene,overrun,across,wet,,whale,gradually,anderson,,,,,,,,
,upper,sketch,documentary,board,various,,splash,describe,understands,,,,,,,,
,poverty,insurance,racism,weird,whatever,,arnold,then,possible,,,,,,,,
,hardship,flood,edge,finally,sentimental,,combat,2002,rises,,,,,,,,
,spite,worried,satire,offensive,cry,,prejudice,korean,harry,,,,,,,,
,enthusiasm,message,debuts,children,future,,screenwriter,historical,holm,,,,,,,,
,protagonists,fraction,teddy,santa,max,,lion,modern,ian,,,,,,,,
,zombie,coal,courage,engage,plotted,,jump,complete,minds,,,,,,,,
,shoot,allow,top,loose,drown,,celebrity,solid,hearts,,,,,,,,
,murder,date,graduated,prove,bombs,,raise,road,justice,,,,,,,,
,matthew,machine,embracing,main,surface,,lifeless,politics,talking,,,,,,,,
,remarkably,higher,intellectual,study,stupidity,,rumor,sexual,heads,,,,,,,,
,cheese,further,admire,fairly,machine,,element,obvious,dawson,,,,,,,,
,topic,shoots,test,revealing,4,,depiction,lived,portray,,,,,,,,
,insistent,ingredient,meditation,done,/,,collective,passing,achievement,,,,,,,,
,nausea,pure,freddy,job,familiar,,contributed,na,accents,,,,,,,,
,survival,preceded,moody,gets,situation,,singles,stupid,freeman,,,,,,,,
,psychological,matters,stereotypes,pace,means,,paxton,elements,logic,,,,,,,,
,coherent,primary,outsiders,husband,complexity,,forster,mood,laughing,,,,,,,,
,victories,smirk,observations,book,dramatic,,levy,felt,attempts,,,,,,,,
,dynamics,grinning,filled,thrown,among,,seriousness,across,grey,,,,,,,,
,struggles,comic,ill,created,darkness,,brains,board,zone,,,,,,,,
,class,carried,bore,daughters,loud,,instinct,weird,shadowy,,,,,,,,
,routine,comics,universal,darker,provides,,flesh,finally,generated,,,,,,,,
,morning,pants,involving,filming,predecessor,,drastic,offensive,sheer,,,,,,,,
,brightly,performance,titular,seeking,sets,,fantasies,2,else,,,,,,,,
,british,yard,sands,surviving,unexpectedly,,illness,children,graceful,,,,,,,,
,actor,video,doses,break,comedies,,canadians,santa,energetic,,,,,,,,
,playful,avid,liberal,fewer,enduring,,calculated,were,resist,,,,,,,,
,nicholas,suit,sequence,deep,doubt,,suffer,ll,amusing,,,,,,,,
,optimistic,younger,edited,okay,subjects,,93,loose,obligatory,,,,,,,,
,coming,adults,unnecessary,submarine,flick,,portraying,prove,pulse,,,,,,,,
,dogs,unsuccessful,badly,grand,wan,,revenge,main,cynical,,,,,,,,
,smarter,social,wholly,found,oddly,,clouds,study,attract,,,,,,,,
,pack,marvel,awkwardly,audience,sweet,,neatly,fairly,stirring,,,,,,,,
,measured,scope,simone,lead,asks,,junk,done,struggling,,,,,,,,
,tremendous,international,check,star,delight,,rejected,job,builds,,,,,,,,
,aged,flight,instead,mental,harvesting,,directs,gets,chan,,,,,,,,
,eddie,terminal,dvd,spirit,purposes,,basically,pace,witnessed,,,,,,,,
,permits,shorter,ticket,medium,bigger,,holden,husband,pointed,,,,,,,,
,acute,traffic,pantheon,punk,beneath,,gore,book,reflection,,,,,,,,
,splendid,catching,smart,team,highly,,phenomenon,thrown,problematic,,,,,,,,
,absorbing,brothers,complicated,olympic,assembled,,viewpoint,created,hilarious,,,,,,,,
,spirituality,careful,context,pilot,construct,,content,daughters,christian,,,,,,,,
,treatise,contains,comedic,holes,won,,pool,filming,political,,,,,,,,
,liberation,devices,aware,master,knows,,stays,seeking,triangle,,,,,,,,
,losers,miracle,ensemble,claude,vanity,,stretches,surviving,ghost,,,,,,,,
,burr,stories,painful,war,laughed,,guts,break,novel,,,,,,,,
,caine,attraction,american,screenplay,laughter,,clown,deep,eat,,,,,,,,
,punching,martha,symbolism,wish,need,,conception,okay,monster,,,,,,,,
,whipping,rug,psychology,drugs,lizard,,broadcast,submarine,satirical,,,,,,,,
,dynamic,freedom,stalker,raw,philosophical,,accomplishment,grand,staring,,,,,,,,
,moved,stewart,renowned,tale,drag,,basis,found,equivalent,,,,,,,,
,dude,shooting,americans,playing,directing,,evidence,audience,secrets,,,,,,,,
,reckless,guns,allows,testament,hop,,tempting,lead,bracing,,,,,,,,
,cia,adequately,winners,ability,literary,,bouquet,star,barrels,,,,,,,,
,changing,straight,professionals,shoulders,remote,,majority,mental,sexy,,,,,,,,
,strain,ear,receive,carry,dull,,successor,spirit,barney,,,,,,,,
,gripping,stabbing,rarely,broad,witty,,successfully,medium,legacy,,,,,,,,
,startling,bumps,reacting,report,push,,chest,punk,lunatic,,,,,,,,
,transformation,undergo,locations,abuse,buttons,,volatile,team,monstrous,,,,,,,,
,widow,schedule,vibrant,fake,really,,jay,olympic,evil,,,,,,,,
,tunisian,turkey,colorful,israeli,accomplished,,transformed,pilot,inherent,,,,,,,,
,french,ideas,photographic,diverse,primal,,overwhelming,master,redemption,,,,,,,,
,wonder,rent,marvel,palestinian,mysterious,,cartoon,war,freshly,,,,,,,,
,spotlight,elevated,sequences,strong,fears,,unconventional,wish,intended,,,,,,,,
,devoid,japan,pulls,fire,friends,,racial,drugs,swinging,,,,,,,,
,fatal,lips,fantasy,nearly,portrait,,appropriately,raw,praises,,,,,,,,
,desperation,oscar,ally,dragon,rare,,harrison,tale,delicate,,,,,,,,
,glossy,nail,illustrates,rodriguez,root,,engages,playing,commentary,,,,,,,,
,exquisite,syrup,sum,move,draws,,collateral,ability,magic,,,,,,,,
,waters,chosen,parts,hill,midnight,,grasp,shoulders,innovation,,,,,,,,
,surprising,bag,collegiate,commercial,mind,,higher,carry,vulgar,,,,,,,,
,bollywood,sinks,national,purpose,compassion,,trapped,broad,pokemon,,,,,,,,
,qualify,mainly,restoring,relatively,success,,explores,report,crowd,,,,,,,,
,remotely,realize,factor,roger,sleeper,,string,abuse,allen,,,,,,,,
,devastating,spare,emerging,mitchell,bard,,exploit,israeli,straight,,,,,,,,
,profoundly,presentation,entity,probably,imitation,,malcolm,diverse,light,,,,,,,,
,followed,decision,audiences,christmas,bone,,holocaust,strong,incorporates,,,,,,,,
,nelson,weight,sign,stores,strengths,,streamed,fire,dying,,,,,,,,
,possibility,strength,mile,reality,hispanic,,dizzy,nearly,belongs,,,,,,,,
,achievements,assume,moonlight,sake,stiff,,stone,dragon,freaks,,,,,,,,
,bullock,heads,nerve,various,stimulus,,appearing,move,diversion,,,,,,,,
,poetic,belly,execution,whatever,winning,,chronicle,hill,pitch,,,,,,,,
,brilliance,unit,bit,wet,bottom,,parker,commercial,anatomical,,,,,,,,
,sloppy,replaced,pianist,colors,antics,,adaptations,purpose,rely,,,,,,,,
,sparkling,conduct,detached,shower,barrel,,ripe,relatively,elegant,,,,,,,,
,lopez,attack,represented,lessons,miracles,,characterized,roger,glory,,,,,,,,
,relationships,picked,premise,money,miracle,,marquis,mitchell,god,,,,,,,,
,gaps,ship,lush,cry,lewis,,menace,probably,behavior,,,,,,,,
,norma,significant,chase,future,remembering,,sufficiently,christmas,episode,,,,,,,,
,rae,holiday,martha,max,why,,heck,stores,opaque,,,,,,,,
,baffled,raging,rapid,talent,davies,,fingered,reality,artificial,,,,,,,,
,cannes,vehicle,virtually,living,perspective,,characterization,various,demons,,,,,,,,
,raphael,con,clever,lake,via,,arms,whatever,blank,,,,,,,,
,understands,mind,public,afterwards,father,,involve,wet,hybrid,,,,,,,,
,anderson,imagination,plunging,searching,domestic,,player,colors,flow,,,,,,,,
,possible,1957,getting,bombs,bleak,,effectively,shower,abstract,,,,,,,,
,rises,characters,underneath,traditional,doing,,chases,money,paul,,,,,,,,
,wherein,child,deeper,stories,each,,94,cry,reel,,,,,,,,
,loyal,terms,rug,surface,holiday,,sleek,future,friendship,,,,,,,,
,holm,memorable,intense,mouth,office,,powers,max,bond,,,,,,,,
,ian,shape,faithful,taste,hail,,besides,talent,constant,,,,,,,,
,minds,davis,exaggerated,might,bullets,,stealing,living,connection,,,,,,,,
,justice,report,improved,machine,poem,,fictional,lake,built,,,,,,,,
,dawson,york,upon,familiar,extended,,velocity,afterwards,mainstream,,,,,,,,
,portray,misunderstanding,yarn,west,convincing,,restrained,searching,compromise,,,,,,,,
,someone,controversy,walk,among,viewer,,barrage,traditional,menacing,,,,,,,,
,responsibilities,box,remember,bank,patient,,simplicity,stories,bears,,,,,,,,
,achievement,pointed,punishment,means,seven,,speaks,surface,spent,,,,,,,,
,monumental,implies,innocence,joseph,timely,,miller,mouth,nor,,,,,,,,
,morgan,phrase,hero,situation,useless,,zhang,taste,gangs,,,,,,,,
,freeman,gangs,keeps,jews,pile,,observed,/,creates,,,,,,,,
,judd,larger,tackles,favor,morton,,resembles,4,demonstrating,,,,,,,,
,logic,kong,grotesque,orthodox,efficiency,,fable,might,encouraging,,,,,,,,
,grey,holes,stanley,dramatic,pathology,,nails,machine,creativity,,,,,,,,
,zone,jack,kwan,responsible,tell,,determination,familiar,dickens,,,,,,,,
,shadowy,leather,versatile,darkness,souls,,lies,west,basic,,,,,,,,
,generated,action,hong,loud,adventure,,minority,among,memorable,,,,,,,,
,rain,research,me,1984,immediate,,ramsay,bank,surroundings,,,,,,,,
,graceful,packages,wore,warning,substances,,confirms,means,objective,,,,,,,,
,frantic,normal,refreshing,provides,subjected,,lift,joseph,carol,,,,,,,,
,expression,production,clive,perfect,convince,,oh,situation,intricate,,,,,,,,
,frontman,titles,barker,waste,racism,,pedestrian,jews,goals,,,,,,,,
,energetic,steady,motion,franchise,edge,,densely,favor,project,,,,,,,,
,resist,guessed,recognizable,predecessor,satire,,hitchcock,orthodox,20th,,,,,,,,
,amusing,comparison,ends,sets,debuts,,wreck,dramatic,crimes,,,,,,,,
,obligatory,effective,kinda,sentence,teddy,,curves,responsible,france,,,,,,,,
,pulse,beach,propelled,romantic,top,,strains,darkness,century,,,,,,,,
,subconscious,stage,spielberg,doubt,courage,,rats,loud,theaters,,,,,,,,
,cynical,accepting,trademark,subjects,target,,drops,1984,psyche,,,,,,,,
,attract,pull,score,acid,embracing,,examining,warning,opportunity,,,,,,,,
,stirring,answer,revelations,teen,test,,damon,provides,spin,,,,,,,,
,struggling,phones,planet,highway,intellectual,,commands,perfect,revealed,,,,,,,,
,1970s,lick,mug,sweet,meditation,,burns,waste,strangely,,,,,,,,
,flourish,fool,cleansing,asks,moody,,precise,franchise,cute,,,,,,,,
,sprawling,washington,ethnic,earth,outsiders,,globe,sets,tricks,,,,,,,,
,scientist,exciting,stylistic,beneath,observations,,fiercely,sentence,indie,,,,,,,,
,chan,convention,layered,purposes,filled,,courtroom,romantic,happiness,,,,,,,,
,problematic,vin,daring,bigger,mentally,,variations,doubt,hopkins,,,,,,,,
,hilarious,sets,haute,highly,humorous,,catholic,subjects,occasionally,,,,,,,,
,fantasia,spark,convey,assembled,dealing,,petty,acid,establishes,,,,,,,,
,biographical,onto,tick,trace,bore,,tenth,highway,villain,,,,,,,,
,corruption,measure,spanning,construct,mostly,,inhabitants,sweet,lavish,,,,,,,,
,christian,performances,journey,knows,mix,,salvage,asks,slightly,,,,,,,,
,triangle,cooper,marina,debt,involving,,ties,earth,discovering,,,,,,,,
,leon,clock,holly,laughed,titular,,cultures,beneath,places,,,,,,,,
,during,kid,emerge,need,exterior,,taut,purposes,came,,,,,,,,
,satirical,windows,passionate,laws,edited,,stripped,bigger,increasingly,,,,,,,,
,pained,dying,dare,closely,sequence,,flashbacks,highly,plotting,,,,,,,,
,equivalent,swept,adolescents,laughter,awkwardly,,bet,trace,served,,,,,,,,
,bracing,language,evolution,philosophical,designed,,happily,won,usually,,,,,,,,
,secrets,successful,greater,hot,wholly,,decide,knows,coma,,,,,,,,
,motives,wash,tired,drag,unnecessary,,shades,debt,development,,,,,,,,
,sexy,el,scrutiny,unique,simone,,elemental,laughed,shrill,,,,,,,,
,magnetic,phenomenon,mark,directing,ticket,,arc,need,sinister,,,,,,,,
,legacy,robinson,skin,required,pantheon,,destructive,laws,seconds,,,,,,,,
,lunatic,anderson,radiant,attention,complicated,,support,closely,painfully,,,,,,,,
,evil,muttering,escaped,hip,live,,goods,laughter,resemble,,,,,,,,
,monstrous,waltz,speculation,hop,comedic,,posing,hot,improvisation,,,,,,,,
,smoky,created,kennedy,humans,aware,,reid,unique,weight,,,,,,,,
,inherent,forces,inspired,literary,rip,,fallon,required,peculiar,,,,,,,,
,ghosts,memory,assassination,explanation,1,,forgiveness,attention,devices,,,,,,,,
,swinging,fight,attempt,remote,pull,,stevens,hip,conventional,,,,,,,,
,trees,blend,soundtrack,distant,ensemble,,ethan,hop,fundamentally,,,,,,,,
,praises,english,concepts,european,american,,stuart,humans,manhattan,,,,,,,,
,destiny,satisfactory,layers,really,symbolism,,friendships,literary,firing,,,,,,,,
,ecological,barry,deadly,apart,psychology,,trilogy,explanation,testimony,,,,,,,,
,disturbing,fall,chords,push,endless,,sacrifices,remote,authentic,,,,,,,,
,suitable,jon,striking,accomplished,scenic,,heroism,distant,obstacles,,,,,,,,
,sociological,angle,sadness,mysterious,stalker,,consciously,european,moment,,,,,,,,
,magic,bolt,impressive,fears,wonderland,,enhance,really,spiritual,,,,,,,,
,innovation,ring,king,group,renowned,,robbed,apart,inspiring,,,,,,,,
,teenagers,series,lola,friends,allows,,grim,push,shocking,,,,,,,,
,notice,celebration,reminiscent,portrait,receive,,creatures,group,lifestyle,,,,,,,,
,glaring,attach,middle,rare,ourselves,,crisis,friends,stunt,,,,,,,,
,vulgar,tube,biography,root,colorful,,describes,portrait,sympathetic,,,,,,,,
,violent,creating,narrator,pain,vibrant,,shaky,rare,consequences,,,,,,,,
,pokemon,rattling,animation,attached,introduction,,reno,root,critics,,,,,,,,
,crowd,baggage,impossible,draws,parade,,pocket,pain,paints,,,,,,,,
,cartoons,bang,detail,pieces,forcing,,prowess,attached,competence,,,,,,,,
,incorporates,state,heroine,48,photographic,,controversial,pieces,clarity,,,,,,,,
,transporting,psychology,dramatically,midnight,marvel,,mounted,48,visually,,,,,,,,
,diaz,hospital,compassionate,bits,sequences,,marching,midnight,chuckle,,,,,,,,
,belongs,rigid,timeless,mind,pulls,,develops,mind,deliberate,,,,,,,,
,country,urgent,hugely,reference,illustrates,,obscured,reference,songs,,,,,,,,
,jacques,rewards,grace,busy,result,,veteran,busy,twists,,,,,,,,
,diversion,catch,fall,success,sort,,omnibus,success,benefit,,,,,,,,
,legged,ellen,eastern,unexpected,sum,,section,devoted,committed,,,,,,,,
,freaks,factor,humane,devoted,parts,,settings,bone,commanding,,,,,,,,
,bonds,tremendous,genuinely,bone,collegiate,,departure,dream,presence,,,,,,,,
,ended,moments,neither,dream,reduced,,comfortably,hispanic,staged,,,,,,,,
,anatomical,proper,entertain,hispanic,factor,,moods,lives,including,,,,,,,,
,rely,fluid,provocative,lives,released,,accumulated,winning,lust,,,,,,,,
,elegant,parent,dime,frustration,emerging,,thoughts,bottom,dazzling,,,,,,,,
,majors,sex,mean,winning,u,,contempt,pleasure,web,,,,,,,,
,governments,january,stops,bottom,major,,grave,feeling,alive,,,,,,,,
,reconstruction,damage,longest,pleasure,entity,,dear,guilty,kong,,,,,,,,
,trade,risky,sharp,barrel,audiences,,grip,lewis,scope,,,,,,,,
,episode,developed,discourse,feeling,brain,,seeds,why,flawless,,,,,,,,
,opaque,object,distinctive,guilty,sign,,frontal,via,fabricated,,,,,,,,
,artificial,complicated,demonstrate,miracle,buy,,virtue,perspective,forced,,,,,,,,
,borrowed,encounters,n,lewis,mile,,reginald,father,williams,,,,,,,,
,demons,equivalent,blown,bother,nerve,,familiarity,domestic,uneasy,,,,,,,,
